Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2005:Q4,pct20to40,3453524,4293448,1771547,382655,220096,751907,305470,861773,839924,534044,298618,7262
2005:Q4,pct00to20,1939816,2326406,1044030,211796,155947,210819,291499,412315,386590,223151,151498,11941
2006:Q1,pct99to100,14183933,14942673,2756377,510367,4875760,997036,2732630,3070502,758739,583334,36324,139081
2006:Q1,pct80to99,25987468,31181073,10031777,1427004,4690538,7263120,3164201,4604433,5193605,4212965,719624,261016
2006:Q1,pct60to80,10335316,13414140,4816777,951794,1224977,3643980,824741,1951871,3078824,2367723,671699,39402
2006:Q1,pct40to60,5753323,7537898,2948521,659204,533030,1893257,411981,1091905,1784575,1295591,460901,28083
2006:Q1,pct20to40,3463253,4312745,1770752,393810,245399,774953,291930,835901,849492,542366,298612,8514
2006:Q1,pct00to20,1985682,2384215,1088876,218676,165526,222841,312002,376294,398533,237562,150424,10547
2006:Q2,pct99to100,14137077,14904433,2762695,503266,4702969,1025471,2772809,3137223,767356,589814,35429,142113
2006:Q2,pct80to99,26219623,31570816,10224709,1448275,4557008,7362065,3290913,4687847,5351193,4360693,728843,261657
2006:Q2,pct60to80,10136849,13327846,4901486,962818,1195074,3584900,819335,1864233,3190997,2466268,679289,45440
2006:Q2,pct40to60,5769647,7586968,2974327,671579,517092,1897553,413327,1113090,1817320,1331901,457494,27925
2006:Q2,pct20to40,3474126,4327073,1795934,400674,245222,790881,272989,821373,852947,549084,294353,9510
2006:Q2,pct00to20,2010220,2424293,1119325,222730,167567,231280,330827,352564,414073,248889,154203,10981
2006:Q3,pct99to100,14451468,15231686,2744917,496496,4884011,1072866,2862981,3170414,780218,592087,35197,152934
2006:Q3,pct80to99,26625150,32123464,10359382,1473993,4695869,7501485,3421609,4671126,5498314,4476773,749091,272450
2006:Q3,pct60to80,10271468,13573755,4964535,976043,1235990,3612998,824269,1959919,3302287,2549590,702893,49804
2006:Q3,pct40to60,5807387,7657991,2995226,681401,514798,1929307,414480,1122779,1850604,1359208,465514,25882
2006:Q3,pct20to40,3554953,4417050,1824225,407479,256672,811194,258286,859194,862097,552021,299416,10660
2006:Q3,pct00to20,2099668,2525838,1160506,223036,173332,242357,344446,382160,426170,256983,159330,9857
2006:Q4,pct99to100,14847418,15654450,2711007,497716,5320257,1124657,2912790,3088023,807032,590706,36400,179926
2006:Q4,pct80to99,27173085,32799126,10454886,1490438,5041480,7684905,3484245,4643173,5626041,4558625,762266,305150
2006:Q4,pct60to80,10454745,13835976,4958822,985820,1327157,3672792,835903,2055482,3381232,2604055,723043,54134
2006:Q4,pct40to60,5842459,7708223,2983882,684613,523043,1968041,420120,1128524,1865764,1372039,471046,22679
2006:Q4,pct20to40,3650660,4520463,1835434,415396,276620,833420,257926,901667,869803,551536,304539,13728
2006:Q4,pct00to20,2199856,2630654,1204971,224526,182466,253460,362111,403120,430798,263291,159423,8084
2007:Q1,pct99to100,15384428,16187274,2648395,505558,5622859,1157812,2914780,3337870,802846,593751,35566,173529
2007:Q1,pct80to99,27892790,33616705,10439285,1499061,5291262,7841108,3595598,4950390,5723915,4670054,763466,290395
2007:Q1,pct60to80,10229335,13662492,4861315,993418,1391167,3659724,818517,1938351,3433157,2660929,716041,56187
2007:Q1,pct40to60,5839102,7712400,2921529,688333,526641,1978296,415795,1181806,1873297,1388395,463397,21505
2007:Q1,pct20to40,3613990,4477816,1816016,425809,292341,848740,227242,867669,863826,554896,295942,12988
2007:Q1,pct00to20,2216097,2664921,1230963,232384,190733,260624,375812,374405,448824,274422,165760,8642
2007:Q2,pct99to100,15576970,16412234,2603442,509380,5790723,1209647,2899799,3399243,835264,594535,36727,204002
2007:Q2,pct80to99,28267402,34140095,10446459,1515431,5440973,8035120,3723461,4978652,5872693,4771479,774540,326674
2007:Q2,pct60to80,10133919,13650204,4818803,1004012,1428370,3724604,795395,1879021,3516285,2725526,734167,56592
2007:Q2,pct40to60,5819941,7708642,2879735,691879,525596,2017340,412405,1181686,1888701,1406606,466959,15136
2007:Q2,pct20to40,3592150,4462313,1803482,435151,303841,871502,191591,856745,870163,556319,299737,14107
2007:Q2,pct00to20,2249598,2701529,1240598,235462,197962,271601,393667,362239,451930,282827,164836,4267
2007:Q3,pct99to100,15839750,16657934,2561070,506216,5830232,1244387,2881639,3634390,818183,593025,37045,188113
2007:Q3,pct80to99,28745611,34709719,10412785,1530721,5511293,8197739,3833162,5224020,5964108,4861787,797751,304570
2007:Q3,pct60to80,10128117,13750300,4794398,1012275,1440057,3737513,774692,1991364,3622183,2794825,763360,63998
2007:Q3,pct40to60,5809620,7733483,2834718,697877,523343,2030372,409395,1237778,1923863,1425308,479246,19309
2007:Q3,pct20to40,3591605,4472467,1782945,442104,311508,886117,158252,891541,880862,555738,308660,16464
2007:Q3,pct00to20,2275292,2742376,1218978,238163,205291,278109,410511,391324,467084,288765,169490,8829
2007:Q4,pct99to100,15423219,16265573,2539076,508070,5407559,1217163,2837873,3755833,842354,601918,38772,201664
2007:Q4,pct80to99,28662067,34704250,10288354,1542364,5332139,8297556,3834657,5409180,6042183,4904782,812992,324409
2007:Q4,pct60to80,10019304,13657747,4670701,1015554,1347812,3728138,755534,2140009,3638444,2798943,773706,65795
2007:Q4,pct40to60,5771897,7728795,2801856,709633,520770,2020329,404350,1271857,1956899,1446957,491639,18303
2007:Q4,pct20to40,3574661,4479977,1769881,448459,298712,878878,145921,938126,905316,570822,316631,17863
2007:Q4,pct00to20,2324152,2811504,1221816,249862,216317,272844,419261,431403,487351,301563,175737,10051
2008:Q1,pct99to100,14687243,15555856,2418853,498818,4793909,1155367,2615104,4073805,868613,609071,37820,221722
2008:Q1,pct80to99,28300172,34402368,9937172,1559435,5056819,8322583,3645234,5881126,6102197,4932675,817469,352053
2008:Q1,pct60to80,9445916,13063063,4459226,1019518,1216359,3655994,739857,1972108,3617147,2793957,756071,67119
2008:Q1,pct40to60,5742286,7712966,2752867,729896,521197,1961665,412721,1334620,1970681,1463643,490701,16337
