Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1992:Q1,College,12317231,14189081,3613940,1003638,1810394,2858758,1748520,3153831,1871850,1399891,349530,122429
1992:Q1,SomeCollege,4520800,5372853,1562798,461855,485193,1180196,604379,1078432,852053,642273,181039,28741
1992:Q1,HS,4323434,5064754,1561385,467030,360362,1146650,492300,1037027,741320,522958,196740,21622
1992:Q1,NoHS,1825219,2040462,693260,199571,96010,369408,198861,483352,215243,142599,66044,6600
1992:Q2,College,12307368,14198828,3637785,1009144,1787171,2919680,1727317,3117731,1891460,1414194,350941,126325
1992:Q2,SomeCollege,4603732,5467784,1576932,469802,500545,1223606,613423,1083475,864052,651266,180786,32000
1992:Q2,HS,4371380,5122755,1577390,469846,370383,1173330,495393,1036413,751375,533249,196317,21809
1992:Q2,NoHS,1821415,2034381,684481,204287,96489,372219,197413,479491,212965,141985,64287,6693
1992:Q3,College,12411602,14328977,3650324,1022991,1849185,2976040,1705365,3125072,1917375,1434703,356513,126159
1992:Q3,SomeCollege,4765649,5651751,1632031,475129,534210,1283161,636454,1090765,886101,670417,183196,32488
1992:Q3,HS,4474566,5242790,1610032,477598,395956,1211305,497463,1050436,768225,547908,198402,21915
1992:Q3,NoHS,1798836,2011718,671601,195824,100458,370070,194332,479433,212882,142299,63822,6761
1992:Q4,College,12703548,14637245,3658497,1018707,2104129,3026464,1688510,3140937,1933697,1447457,358446,127794
1992:Q4,SomeCollege,4896470,5802906,1658412,487499,596438,1329337,643637,1087584,906436,681738,193305,31393
1992:Q4,HS,4614056,5409311,1639044,491429,443687,1264731,500202,1070218,795255,565986,206221,23048
1992:Q4,NoHS,1836049,2054503,684003,195620,108454,385702,196121,484603,218454,145171,66797,6486
1993:Q1,College,12840509,14763767,3659169,993204,2179927,3084930,1712140,3134396,1923258,1443730,345492,134036
1993:Q1,SomeCollege,4951080,5864283,1625368,502355,625683,1357186,660589,1093102,913203,686605,193514,33084
1993:Q1,HS,4699173,5504139,1671278,496323,461603,1307596,500890,1066449,804966,577899,202806,24261
1993:Q1,NoHS,1873619,2091698,692134,214518,109830,395220,200582,479414,218079,145955,65451,6673
1993:Q2,College,12888515,14823471,3659759,993216,2215595,3113328,1722253,3119321,1934956,1457146,342860,134950
1993:Q2,SomeCollege,5032780,5967297,1663240,517040,647505,1379490,667785,1092238,934517,701809,201076,31632
1993:Q2,HS,4797027,5629226,1711986,513289,471231,1349694,506662,1076364,832199,599372,207479,25348
1993:Q2,NoHS,1902154,2125386,703508,212707,109622,412234,203836,483479,223233,149502,67247,6484
1993:Q3,College,13017830,14971581,3653849,994255,2318351,3148613,1742758,3113755,1953751,1466537,344595,142619
1993:Q3,SomeCollege,5138215,6102463,1707696,531223,685228,1406955,675559,1095802,964249,719160,212002,33087
1993:Q3,HS,4915258,5777373,1750450,531629,496241,1394598,512612,1091843,862115,619915,215692,26508
1993:Q3,NoHS,1928468,2158594,716049,208772,112370,427426,207049,486928,230126,152405,70378,7343
1993:Q4,College,13171190,15142999,3659870,991177,2427545,3157978,1765661,3140768,1971809,1472042,351817,147950
1993:Q4,SomeCollege,5240970,6235795,1733628,548573,725163,1437224,689403,1101804,994826,732286,228386,34154
1993:Q4,HS,5046077,5943813,1795882,549151,521978,1439333,518168,1119302,897736,639727,230376,27633
1993:Q4,NoHS,1964319,2202714,729771,213177,115266,441357,208936,494207,238395,155123,75590,7682
1994:Q1,College,13178022,15143683,3664397,976484,2296852,3180377,1804889,3220685,1965662,1471090,344231,150341
1994:Q1,SomeCollege,5257595,6268442,1726688,565544,714084,1434587,701590,1125950,1010847,745036,232613,33198
1994:Q1,HS,5115623,6032728,1844390,559300,503249,1473277,525068,1127444,917105,656646,231188,29271
1994:Q1,NoHS,2009058,2249411,741361,224709,109402,469983,216771,487185,240353,156698,75845,7810
1994:Q2,College,13183000,15162577,3667759,973095,2221791,3234603,1843408,3221921,1979577,1478699,347937,152941
1994:Q2,SomeCollege,5279767,6317261,1748985,582304,715850,1428307,698924,1142890,1037493,757587,246981,32925
1994:Q2,HS,5198263,6151344,1887975,575941,500253,1502029,537350,1147796,953081,678455,243606,31020
1994:Q2,NoHS,2052806,2300501,756296,228208,106310,493447,231399,484841,247695,159882,80056,7757
1994:Q3,College,13292761,15287037,3656220,976715,2251343,3283305,1874873,3244580,1994276,1486919,353712,153645
1994:Q3,SomeCollege,5368162,6433687,1789191,597816,739965,1449793,694738,1162183,1065525,770797,263295,31433
1994:Q3,HS,5304877,6295797,1922224,596488,515080,1544334,544726,1172945,990920,700389,258020,32511
1994:Q3,NoHS,2081045,2336379,770321,225480,106829,508478,236763,488508,255334,162944,84926,7464
1994:Q4,College,13352938,15375163,3650242,974491,2207443,3299871,1913499,3329618,2022226,1495766,365040,161420
