Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1991:Q3,Hispanic,479265,699566,270628,80181,16332,137205,92321,102899,220301,160680,52077,7544
1991:Q3,Other,1004204,1204241,344292,101214,68306,209140,260144,221145,200037,153961,35511,10565
1991:Q4,White,20449478,23461520,6362663,1803435,2676245,4644370,2623947,5350861,3012043,2204451,649362,158230
1991:Q4,Black,969841,1205780,359293,132122,32933,447586,82124,151722,235940,150613,79010,6317
1991:Q4,Hispanic,475785,692600,271505,78718,17018,137128,93265,94967,216815,158377,51991,6447
1991:Q4,Other,1036604,1236524,347088,103114,83732,218754,250113,233724,199920,153915,35218,10787
1992:Q1,White,20450765,23497851,6446703,1811476,2619843,4730774,2612470,5276586,3047086,2256740,634750,155596
1992:Q1,Black,997143,1228509,364891,137070,33238,459797,87652,145861,231366,147769,76745,6852
1992:Q1,Hispanic,480076,685647,271550,77637,16574,135057,95614,89214,205570,151098,49235,5237
1992:Q1,Other,1058699,1255143,348239,105911,82305,229384,248325,240979,196444,152114,32623,11707
1992:Q2,White,20522815,23622912,6499113,1826775,2622714,4839491,2600249,5234570,3100097,2300254,636889,162954
1992:Q2,Black,1021661,1251980,365529,141319,33336,474085,90529,147182,230319,146124,76564,7631
1992:Q2,Hispanic,482555,678650,264806,76706,16603,135098,96641,88796,196094,144339,47619,4136
1992:Q2,Other,1076864,1270206,347142,108279,81935,240161,246127,246562,193342,149978,31260,12104
1992:Q3,White,20825611,23987419,6580989,1848534,2741622,4964066,2597324,5254884,3161808,2351803,646603,163402
1992:Q3,Black,1046331,1283663,372930,138523,35608,491663,96995,147944,237333,151688,77515,8130
1992:Q3,Hispanic,474361,667110,257944,75876,16593,134458,97660,84580,192749,142380,47220,3149
1992:Q3,Other,1104350,1297043,352124,108609,85986,250389,241635,258300,192694,149455,30595,12644
1992:Q4,White,21415170,24639300,6657980,1872531,3095997,5102980,2620124,5289687,3224130,2393171,665233,165726
1992:Q4,Black,1058919,1301763,376351,136913,40346,502903,95957,149293,242844,155311,79622,7911
1992:Q4,Hispanic,463649,655636,254425,75625,17065,138638,89270,80614,191987,141366,47571,3050
1992:Q4,Other,1112384,1307266,351200,108187,99300,261713,223120,263747,194882,150506,32344,12032
1993:Q1,White,21707407,24948019,6676244,1877616,3214713,5218723,2681030,5279693,3240613,2412520,652093,176000
1993:Q1,Black,1075970,1316599,376262,145206,41426,507867,95267,150571,240629,154898,77785,7946
1993:Q1,Hispanic,471705,657535,255827,73513,17209,145297,83634,82055,185830,137138,45716,2976
1993:Q1,Other,1109300,1301734,339617,110065,103695,273046,214270,261041,192434,149632,31669,11133
1993:Q2,White,21968740,25267365,6763666,1909304,3277993,5312245,2728135,5276022,3298625,2459629,661604,177392
1993:Q2,Black,1077995,1324888,382460,143497,42490,510894,93459,152088,246893,160437,78823,7633
1993:Q2,Hispanic,466303,651653,252649,74049,16977,148892,77541,81545,185350,136886,45564,2900
1993:Q2,Other,1107438,1301475,339719,109402,106493,282715,201401,261745,194037,150876,32671,10490
1993:Q3,White,22354252,25725111,6852277,1942867,3438997,5417202,2782953,5290815,3370859,2500215,681038,189606
1993:Q3,Black,1075999,1332776,387748,140379,44228,515510,91601,153310,256777,168059,81127,7591
1993:Q3,Hispanic,458963,645618,247609,74312,17091,152739,72515,81351,186655,137568,46146,2941
